
========================================================================
  SpongeBob (SHA3-512 chain, seed=00..3f)
========================================================================

  ── NIST SP 800-22 (1000000 bits) ──
  [PASS] nist::non_overlapping_template                    p = 0.163776  (B=001101111, N=8, M=125000, χ²=11.7276)
  [PASS] nist::non_overlapping_template                    p = 0.328266  (B=001110101, N=8, M=125000, χ²=9.1687)
  [PASS] nist::non_overlapping_template                    p = 0.850475  (B=001110111, N=8, M=125000, χ²=4.0730)
  [PASS] nist::non_overlapping_template                    p = 0.936526  (B=001111011, N=8, M=125000, χ²=2.9651)
  [PASS] nist::non_overlapping_template                    p = 0.202181  (B=001111101, N=8, M=125000, χ²=10.9915)
  [PASS] nist::non_overlapping_template                    p = 0.105397  (B=001111111, N=8, M=125000, χ²=13.1925)
  [PASS] nist::non_overlapping_template                    p = 0.624977  (B=010000011, N=8, M=125000, χ²=6.1988)
  [PASS] nist::non_overlapping_template                    p = 0.218884  (B=010000111, N=8, M=125000, χ²=10.7066)
  [PASS] nist::non_overlapping_template                    p = 0.673471  (B=010001011, N=8, M=125000, χ²=5.7656)
  [PASS] nist::non_overlapping_template                    p = 0.439244  (B=010001111, N=8, M=125000, χ²=7.9411)
  [PASS] nist::non_overlapping_template                    p = 0.510756  (B=010010011, N=8, M=125000, χ²=7.2421)
  [PASS] nist::non_overlapping_template                    p = 0.128030  (B=010010111, N=8, M=125000, χ²=12.5570)
  [PASS] nist::non_overlapping_template                    p = 0.113585  (B=010011011, N=8, M=125000, χ²=12.9499)
  [PASS] nist::non_overlapping_template                    p = 0.654508  (B=010011111, N=8, M=125000, χ²=5.9350)
  [PASS] nist::non_overlapping_template                    p = 0.490635  (B=010100011, N=8, M=125000, χ²=7.4338)
  [PASS] nist::non_overlapping_template                    p = 0.543902  (B=010100111, N=8, M=125000, χ²=6.9328)
  [PASS] nist::non_overlapping_template                    p = 0.309217  (B=010101011, N=8, M=125000, χ²=9.4059)
  [PASS] nist::non_overlapping_template                    p = 0.750670  (B=010101111, N=8, M=125000, χ²=5.0644)
  [PASS] nist::non_overlapping_template                    p = 0.463456  (B=010110011, N=8, M=125000, χ²=7.6986)
  [PASS] nist::non_overlapping_template                    p = 0.386470  (B=010110111, N=8, M=125000, χ²=8.4972)
  [PASS] nist::non_overlapping_template                    p = 0.074392  (B=010111011, N=8, M=125000, χ²=14.2951)
  [FAIL] nist::non_overlapping_template                    p = 0.004200  (B=010111111, N=8, M=125000, χ²=22.4168)
  [PASS] nist::non_overlapping_template                    p = 0.921241  (B=011000111, N=8, M=125000, χ²=3.1992)
  [PASS] nist::non_overlapping_template                    p = 0.160121  (B=011001111, N=8, M=125000, χ²=11.8050)
  [PASS] nist::non_overlapping_template                    p = 0.092768  (B=011010111, N=8, M=125000, χ²=13.6013)
